German,English
word,word
Ich,I
ist,is
ich,I
nicht,not
Sie,She
du,of
das,the
die,the
es,is
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,Of
mir,me
mit,with
Was,Was
den,it
mich,me
was,was
auf,on
dass,that
er,is
eine,one
Es,Is
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,war
haben,have
für,for
Ja,And
hier,here
an,an
habe,have
Er,Is
bin,bin
wie,How
noch,still
dir,you
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,No
dem,dem
ihn,him
auch,also
hast,hast
sein,be
ihr,her
da,and
aus,out of
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,one
Wie,How
als,as
bist,are
im,in the
mal,just
doch,but
gut,gut
meine,mine
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,and
Oh,Oh
oder,or
dann,then
will,will
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,man
wieder,again
bei,at
hab,method
machen,make
vor,before
Mann,Mann
ihm,him
einem,one
tun,again
zum,for the
können,can
sagen,say
werde,become
denn,because
Ist,Is
Ein,A
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very
geht,goes
alle,all
über,above
müssen,must
diese,this
einfach,simply
euch,you
des,of the
nie,NO
Also,Also
Wo,Where
los,the
Zeit,Time
Ihnen,Them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,should
Da,And
hatte,had
Hier,Here
wissen,knowledge
bitte,please
viel,much
Dann,Then
So,So
gesagt,said
Ihr,Her
am,am
kein,no
Komm,Come on
Wer,Who
zurück,back
wurde,became
In,In
wollte,wanted
Frau,Woman
Leben,Life
wäre,were
wo,where
damit,with it
Nicht,Not
Gott,good
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,Already
wollen,want
sicher,secure
ganz,quite
Jetzt,Now
Mein,My
Mr,Mr
also,also
zur,to
Hast,Hast
Gut,Gut
hätte,would have
weil,because
tut,Tut
Hallo,Hello
Okay,Okay
macht,might
waren,were
bis,until
Vielleicht,Perhaps
könnte,could
Eine,One
Bitte,Please
weg,away
seine,his
lassen,let
Vater,Father
gesehen,seen
Nun,Nun
gerade,straight
Alles,Everything
glaube,believe
Tag,Tag
ab,ab
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this one
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,rode
anderen,others
dachte,thought
daß,that
möchte,want
wirst,will
gehört,heard
weißt,know
Keine,No
raus,out
Meine,Mine
paar,pair
besser,better
ob,at
her,her
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,The
diesem,this one
meinem,mine
lange,long
Lass,Lass
dieses,this
helfen,help
unsere,our
Weg,Away
selbst,himself
Nur,Only
finden,find
Mal,Just
jemand,someone
denke,think
Ach,But
Nacht,Night
genau,Exactly
gar,even
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,ins
hin,don't
vom,from the
schön,nice
warum,Why
weiter,further
Leid,Sorrow
gleich,even
wer,who
Man,Man
ohne,without
Menschen,People
deinen,yours
leid,sorrow
Wieso,How come
dort,there
Als,If
Hause,home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,Ok
Hör,Hear
machst,do
Freund,Friend
richtig,correct
Angst,Angst
Bist,Are
Tut,Tut
Mit,With
viele,many
sieht,sees
Haus,Haus
tot,to
sollen,should
ganze,whole
andere,other
getan,did
okay,okay
rein,rein
Diese,This
Moment,Moment
bleiben,remain
brauchen,need
Weil,Because
Kinder,Children
unter,under
Arbeit,Work
Für,For
Problem,Problem
dafür,for that
Herr,Mister
Haben,Have
wegen,because of
geht's,it's okay
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,it is
gegen,against
Weißt,You know
Sag,Sag
schnell,fast
nun,nun
eines,one
brauche,need
Abend,Evening
hatten,had
Jahre,Years
Mach,Mach
Bruder,Brother
Sache,Matter
hören,hear
komm,come on
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,stands
Scheiße,shit
mag,mag
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Go
Baby,Baby
Dich,You
Sind,Are
erst,first
fertig,complete
gefunden,found
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,years
Kind,Kind
seinen,his
Genau,Exactly
daran,to it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,City
beim,at the
sterben,die
warst,were
Recht,Right
glauben,believe
Warte,Worth it
darüber,about it
deiner,yours
deinem,yours
Ende,End
He,He
Dinge,Things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,receive
Männer,Men
vergessen,forget
Doch,But
dazu,in addition
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,Friends
Jungs,guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,good
Dein,Your
kennen,know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,Auto
sage,sage
gehe,go
komme,come
Dir,you
mache,walk
Von,From
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Art
gern,gladly
Liebe,Love
jeden,one
könnten,could
ihren,your
Halt,Halt
Fall,Fall
Dad,Dad
Film,Film
bisschen,a little
eigentlich,actually
weit,far
mach,mach
Gib,Gib
vorbei,over
verstehe,understand
danke,Thanks
drin,inside
Im,In the
Name,Name
ganzen,entire
Musik,Music
würden,would
Tür,Type
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,your turn
Sieh,See
lieber,Dear
Den,It
leben,life
Guten,Good
Um,One
darauf,on it
Kein,No
stimmt,true
Kerl,guy
letzte,last
Job,Job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,Ground
toll,toll
Bis,Until
Verdammt,Damned
bald,bald
bereit,ready
all,all
jemanden,someone
hinter,behind
Schon,Already
Sehr,Very
Hand,Hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,Idea
runter,down
Macht,Power
draußen,outside
lang,just
Land,Land
lass,lass
Typ,Type
hätten,would have
egal,doesn't matter
arbeiten,work
spät,late
stehen,stand
ok,ok
Gute,Good
gekommen,came
Bei,At
etwa,approximately
essen,eat
kleine,small
jeder,everyone
Schwester,Sister
Wasser,Water
spielen,play
Geschichte,Story
seinem,his
liegt,lies
sah,legitimate
Mom,Mom
Seite,Page
wenig,few
ruhig,quiet
Frage,Ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,Quite
Gehen,Go
Essen,Eat
Ruhe,Quiet
echt,Real
versucht,tried
Tochter,Daughter
Kommt,Comes
Einen,A
ging,went
Jahr,Year
braucht,needs
fast,fast
neue,new
geh,go
ziemlich,quite
anders,otherwise
siehst,see
Polizei,police
Stunden,Hours
musste,had to
Spiel,Game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,Tod
Ort,Location
Chance,Chance
bedeutet,means
War,War
sag,sag
sagst,say
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,Things
Wahrheit,Truth
einzige,only
kurz,short
denen,those
Kommen,Come
Spaß,Fun
Nach,After
oben,above
Mama,Mama
schwer,difficult
Schule,School
je,is
eben,even
Gesicht,Face
bestimmt,certainly
treffen,meet
niemand,nobody
Woche,Week
Entschuldigung,Excuse me
Sorgen,Care for
warte,worth it
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Ah
Sei,Be
Zimmer,Zimmer
hoch,high
unserer,ours
Tage,Take
Teil,Part
Wann,When
suchen,seek
verlassen,leave
zeigen,show
wollten,wanted
lässt,lets
Wort,Word
eins,like
zwischen,between
Woher,From where
Schatz,Schatz
Wissen,To know
versuchen,attempt
Können,Can
Kannst,Can
nett,net
Zu,To
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Method
weiss,weiss
erste,first
läuft,running
kommst,come
Freundin,Girlfriend
Mensch,Person
beiden,both
Ding,Ding
niemals,never
endlich,finally
Nimm,Take
muß,must
gehst,go
Heute,Today
denkst,think
Herz,Heart
Waffe,weapon
Soll,Should
tust,do
Dollar,Dollar
nehme,take
Schau,Look
holen,fetch
oft,often
drauf,on it
anderes,other
Niemand,Nobody
unten,below
Wagen,Dare
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,Mrs
hättest,would have
allen,allen
Miss,Miss
ihrer,theirs
gedacht,thought
Nummer,Number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,right
bringt,brings
Bett,Bed
Lassen,Let
Eltern,Parents
gefällt,pleases
Schuld,Debt
eure,your
Plan,Plan
Krieg,War
neuen,new
Klar,Clear
retten,the court
guter,goods
während,while
ihrem,theirs
wären,would be
Fehler,Mistake
scheint,appears
